Alignment ID,Muña1,Muña1,Inkamuñ1,Inkamuña2
838,-4.36196,-4.5087,-4.91177,-4.5935
845,-4.94197,-4.84079,-7.22938,-7.22938
848,-3.61269,-3.62266,-4.31879,-4.32188
849,-4.22429,-4.007,-4.64254,-4.40502
850,-4.1538,-4.18584,-3.96793,-4.0497
851,-3.55301,-3.68652,-3.66223,-3.77489
852,-4.82245,-5.82245,-5.82245,-5.82245
869,-3.17795,-3.3973,-3.55228,-3.52543
870,-2.99499,-3.07346,-3.02035,-2.96403
871,-4.55939,-4.08251,-4.58741,-4.59383
878,-5.97269,-5.97269,-5.97269,-4.97269
880,-3.87263,-3.87019,-3.93586,-4.08415
886,-4.80964,-4.88291,-4.98411,-5.31061
887,-5.34434,-5.40714,-5.17005,-5.00156
888,-4.55762,-4.79305,-5.84992,-5.85194
889,-5.0479,-4.87685,-4.57102,-4.39294
890,-5.81988,-4.66899,-5.6034,-5.33818
904,-3.50272,-3.49958,-3.66346,-3.30675
907,-4.09099,-3.98594,-4.21178,-3.99534
908,-1.49691,-1.60805,-1.60916,-1.67727
912,-4.41849,-4.01505,-6.00426,-4.94961
913,-6.45441,-4.64665,-5.45441,-6.45441
914,-4.31964,-4.4128,-4.21573,-4.09362
919,-5.1802,-5.09564,-5.12484,-4.98771
920,-6.07437,-6.07437,-6.07437,-5.07437
923,-3.95042,-3.93886,-3.96312,-4.18305
926,-4.67099,-4.56571,-4.50409,-4.61434
934,-2.67085,-2.77315,-2.91492,-2.77049
935,-2.11248,-2.1824,-2.04989,-1.92252
936,-4.58754,-4.33049,-4.29605,-4.1716
938,-5.0389,-5.04943,-4.8748,-4.72515
940,-4.76791,-4.64471,-4.50301,-4.61629
943,-5.78066,-5.52928,-5.21993,-4.85448
945,-4.62077,-4.88692,-5.96513,-5.96513
953,-5.55711,-6.91061,-5.66552,-6.91061
954,-4.19408,-4.2251,-4.95068,-5.14476
955,-4.79073,-4.73338,-6.60279,-5.60279
956,-4.35411,-4.44952,-4.26469,-4.10281
977,-5.89951,-5.89951,-4.89951,-5.89951
982,-4.71198,-4.8617,-5.29764,-5.17606
983,-5.17928,-4.75774,-4.55426,-4.69438
984,-4.62756,-4.56855,-5.03128,-5.13742
985,-4.63483,-4.7916,-5.26796,-4.81471
990,-5.90451,-5.90451,-4.90451,-5.90451
991,-4.21811,-4.05005,-5.2481,-4.91035
997,-4.4549,-4.48648,-4.18069,-4.72604
999,-2.76517,-2.40396,-2.6575,-2.59335
1001,-4.8409,-4.97961,-5.03095,-5.73893
1002,-3.59932,-3.63863,-3.78557,-3.63338
1008,-4.79642,-4.89901,-5.05314,-5.1961
1009,-4.93148,-5.31082,-3.93237,-3.90555
1010,-4.65479,-4.88739,-3.92579,-4.01942
1012,-4.57937,-4.57487,-7.38054,-6.38054
1019,-4.18736,-3.9098,-3.26909,-3.28994
1020,-3.92711,-3.82622,-4.33973,-4.51298
1021,-3.16456,-3.234,-3.45696,-3.5129
1022,-3.95949,-4.01985,-3.57853,-3.54936
1029,-5.99646,-4.82927,-4.99646,-5.99646
1030,-6.3391,-6.3391,-6.3391,-5.3391
1039,-7.43037,-7.43037,-4.53261,-4.74913
1040,-2.33964,-2.3388,-2.95673,-3.00344
1041,-4.67142,-4.58457,-6.85041,-6.85041
1048,-5.06825,-5.0708,-3.85913,-3.67418
1050,-3.08242,-3.27148,-3.47932,-3.48805
1051,-4.02077,-4.09422,-4.52799,-4.32812
1055,-6.04257,-6.04257,-5.04257,-6.04257
1057,-4.6292,-4.67324,-7.3802,-7.3802
1077,-5.32218,-4.91511,-5.18188,-5.01775
1080,-5.79923,-5.79923,-5.79923,-4.79923
1085,-4.62604,-5.62604,-5.62604,-5.62604
1089,-2.58003,-2.68062,-2.75447,-2.73523
1090,-2.86593,-2.94701,-2.80189,-2.7773
1092,-4.33935,-4.41222,-5.00585,-4.98476
1093,-5.36469,-6.36469,-6.36469,-6.36469
1105,-4.60976,-4.76958,-5.82978,-6.82978
1111,-4.33419,-4.60581,-4.77803,-4.34374
1112,-3.79152,-4.15429,-3.9304,-3.73014
1113,-4.43376,-4.43182,-4.77803,-4.34374
1121,-5.92728,-5.92728,-5.92728,-4.92728
1128,-4.82895,-4.9715,-7.71789,-5.18303
1132,-5.04047,-4.91915,-5.17947,-5.3351
1135,-4.09752,-4.40459,-4.55156,-4.29059
1137,-4.7351,-4.55985,-4.90031,-5.09949
1138,-5.07897,-7.03912,-7.03912,-4.9825
1149,-4.59419,-6.01367,-5.01367,-6.01367
1152,-3.89724,-4.28101,-4.27762,-4.25502
1154,-4.30331,-4.4105,-4.3374,-4.199
1157,-4.85978,-4.93431,-6.60309,-7.60309
1158,-4.73556,-4.68997,-5.19929,-5.24456
1160,-5.87794,-5.87794,-4.87794,-5.87794
1167,-3.93668,-3.98746,-4.6639,-4.5549
1168,-4.78286,-4.6219,-4.96993,-5.03458
1175,-4.44124,-4.06739,-3.83328,-3.73792
1176,-4.7933,-4.76926,-5.99979,-5.30297
1181,-5.80811,-5.80811,-5.80811,-4.80811
1183,-3.95537,-3.95907,-5.51872,-6.51872
1184,-4.10124,-4.35098,-3.58086,-3.60217
1187,-4.50903,-4.0073,-4.43943,-4.10241
1189,-4.47282,-4.72609,-3.89403,-3.90219
1193,-3.37105,-3.27912,-4.20031,-4.25314
1194,-4.0122,-3.90546,-5.26994,-5.46818
1195,-6.07412,-5.07412,-5.01145,-6.07412
1196,-6.0539,-6.0539,-6.0539,-5.0539
1199,-5.32556,-6.1199,-4.80178,-6.15465
1229,-3.47958,-3.3493,-3.46321,-3.45522
1230,-5.44561,-5.49486,-5.48415,-5.20989
1233,-7.05204,-6.96086,-6.88892,-6.88275
1234,-4.74231,-4.89069,-4.71876,-4.71533
1235,-4.79002,-4.7917,-4.39349,-4.65106
1246,-4.41097,-4.37107,-4.49106,-4.62348
1248,-7.33285,-7.33285,-6.33285,-7.33285
1249,-4.33372,-6.70481,-3.7418,-3.89923
1256,-5.97645,-5.97645,-5.97645,-4.97645
1270,-4.33522,-5.83794,-5.83794,-4.54012
1271,-6.90944,-5.90944,-6.90944,-4.93469
1272,-4.40898,-5.40898,-5.40898,-5.40898
1273,-5.49075,-5.49075,-4.35762,-3.82551
1278,-5.00659,-6.02866,-5.02866,-6.02866
1279,-7.6309,-4.63762,-6.6309,-7.6309
1284,-4.56331,-5.56331,-5.56331,-4.44981
1289,-4.35037,-4.25344,-3.84636,-5.35037
1292,-5.40829,-5.40829,-4.40829,-5.40829
1301,-5.72189,-5.72189,-4.72189,-5.72189
1303,-5.02303,-5.77756,-4.40269,-6.79718
1306,-5.22359,-5.22359,-4.12011,-3.76821
1309,-5.84381,-4.53291,-4.84381,-5.84381
1311,-4.42168,-5.81756,-5.81756,-4.81756
1312,-5.53838,-5.53838,-5.53838,-4.53838
1324,-6.0605,-6.0605,-4.02968,-4.071
1326,-5.59276,-5.59276,-4.11934,-4.02212
1334,-4.74499,-4.92106,-4.66933,-6.07366
1341,-5.70158,-5.70158,-4.70158,-5.70158
1344,-6.62339,-4.4433,-6.62339,-4.89217
1347,-4.58255,-6.2809,-5.2809,-6.2809
1351,-5.56514,-5.56514,-4.56514,-5.56514
1356,-5.58408,-5.58408,-5.58408,-4.58408
1367,-4.61095,-5.61095,-5.61095,-5.61095
1373,-5.48673,-4.48673,-5.48673,-5.48673
1383,-4.99728,-3.99728,-4.99728,-4.99728
1392,-4.65457,-5.65457,-5.65457,-5.65457
1393,-4.59385,-5.59385,-5.59385,-5.59385
1398,-4.66832,-6.88009,-6.88009,-6.88009
1399,-4.93569,-4.76664,-6.74474,-6.74474
1403,-6.78467,-4.5018,-6.78467,-4.53957
1407,-5.83717,-5.83717,-5.83717,-4.83717
1426,-7.27112,-7.27112,-7.27112,-4.95218
1427,-5.55938,-4.54167,-4.47161,-6.55938
1428,-4.69307,-4.69876,-4.27672,-5.69876
1435,-4.80574,-4.80574,-3.80574,-4.80574
1442,-4.73021,-7.23366,-7.23366,-6.16752
1445,-4.59183,-6.77879,-6.77879,-6.77879
1446,-5.06452,-4.06452,-5.06452,-5.06452
1462,-6.73768,-4.90007,-4.93303,-5.73768
1467,-7.94676,-4.85788,-6.94676,-5.06072
1469,-7.07136,-7.07136,-4.00607,-6.07136
1474,-6.59057,-4.63569,-8.02589,-8.02589
1476,-4.2525,-5.2525,-5.2525,-5.2525
1477,-6.66771,-5.66771,-6.66771,-4.80083
1478,-7.03209,-4.6951,-7.03209,-4.79746
1485,-5.781,-4.28464,-5.781,-4.781
1486,-5.41817,-4.41817,-5.41817,-5.41817
1538,-5.64127,-4.64127,-5.64127,-4.15891
1539,-6.00772,-4.49148,-6.00772,-5.00772
1540,-5.79394,-4.79394,-5.79394,-5.79394
1552,-6.00017,-6.00017,-5.00017,-6.00017
1554,-5.32085,-6.32085,-4.41604,-6.32085
1565,-4.98443,-5.98443,-5.98443,-5.98443
1570,-4.74034,-4.85952,-7.18286,-7.18286
1580,-4.907,-5.907,-5.907,-5.907
1591,-4.80587,-5.80587,-5.80587,-4.71392
1595,-5.34342,-5.34342,-4.34342,-5.34342
1602,-5.839,-4.839,-5.839,-5.839
1604,-5.40539,-4.09263,-4.203,-4.40539
1606,-7.16736,-6.04318,-7.16736,-6.16736
1610,-4.25541,-5.25541,-5.25541,-5.25541
1617,-5.30334,-6.30334,-6.30334,-6.30334
1626,-4.8073,-5.8073,-5.8073,-5.8073
1643,-6.05952,-6.05952,-6.05952,-5.05952
1645,-5.21288,-4.21288,-5.21288,-5.21288
1653,-6.47598,-4.78073,-6.47598,-5.47598
1655,-5.62308,-5.62308,-4.62308,-5.62308
1657,-4.88594,-5.88594,-5.88594,-5.88594
1658,-4.56792,-5.56792,-5.56792,-5.56792
1659,-5.29787,-5.29787,-4.29787,-5.29787
1668,-5.37067,-5.37067,-4.37067,-5.37067
1673,-6.00661,-6.00661,-5.00661,-6.00661
1676,-6.31061,-5.31061,-6.31061,-4.97463
1680,-5.89297,-6.89297,-5.01211,-6.89297
1684,-4.75737,-5.75737,-5.75737,-5.75737
1693,-4.95251,-4.95251,-4.95251,-3.95251
1703,-7.01992,-5.0262,-4.34145,-7.01992
1704,-5.01843,-6.01446,-7.01446,-5.00545
1710,-5.31564,-4.31564,-5.31564,-5.31564
1712,-4.91829,-6.24471,-5.24471,-5.18433
1724,-5.45783,-6.68602,-4.23726,-4.8796
1733,-7.91038,-7.91038,-6.91038,-7.91038
1734,-4.82037,-5.82037,-5.82037,-5.82037
1750,-5.69341,-4.69341,-5.69341,-5.69341
1751,-5.313,-5.26141,-5.40231,-5.36889
1753,-4.89678,-4.74956,-4.49264,-4.69969
1755,-3.82227,-3.62145,-3.61019,-3.50925
1756,-3.40888,-3.41316,-4.38584,-4.40443
1772,-3.64004,-5.50877,-3.82214,-4.50877
1774,-5.4224,-5.4224,-4.4224,-5.4224
1775,-6.31901,-5.31901,-6.31901,-6.31901
1779,-4.46973,-5.46973,-5.46973,-5.46973
1782,-5.88185,-5.88185,-4.88185,-5.88185
1784,-4.82983,-6.70048,-4.92001,-4.81189
1786,-4.68309,-6.52679,-5.45446,-6.52679
1792,-5.68419,-5.68419,-5.68419,-4.68419
1806,-5.18669,-5.97695,-6.97695,-4.88657
1811,-5.6411,-5.6411,-4.6411,-5.6411
1814,-6.82339,-6.82339,-6.82339,-4.75484
1820,-4.78228,-5.78228,-5.78228,-5.78228
1828,-5.70268,-5.70268,-4.70268,-5.70268
1829,-5.71978,-4.71978,-5.71978,-5.71978
1839,-5.11183,-5.11183,-5.11183,-4.11183
1840,-5.28531,-5.28531,-5.28531,-4.28531
1843,-5.59727,-5.59727,-4.59727,-5.59727
1847,-5.77294,-4.77294,-5.77294,-5.77294
1850,-5.00161,-6.00161,-6.00161,-4.92619
1853,-5.78677,-4.78677,-4.70408,-5.78677
1858,-5.95757,-5.95757,-4.95757,-5.95757
1859,-5.80165,-5.80165,-4.80165,-5.80165
1870,-5.88793,-5.88793,-4.88793,-5.88793
1878,-6.55789,-4.93126,-4.79103,-6.55789
